,TPR,FPR,TPR_clear,FPR_clear
0,0.9994995,0.9979573,0.0,0.0
1,0.9552714,0.27392966,0.72607034,0.04472859
2,0.9503789,0.25574264,0.74425733,0.04962109
3,0.94699556,0.24532802,0.754672,0.053004414
4,0.94445616,0.23762773,0.76237226,0.055543836
5,0.9425743,0.23151986,0.7684801,0.057425685
6,0.94091886,0.226735,0.773265,0.05908116
7,0.9395067,0.22251426,0.7774857,0.060493317
8,0.9381438,0.21866031,0.7813397,0.061856195
9,0.9369904,0.2154919,0.7845081,0.063009635
10,0.93590933,0.21272193,0.78727806,0.0640907
11,0.9346203,0.21008855,0.78991145,0.06537966
12,0.9336609,0.20771699,0.792283,0.06633906
13,0.9327015,0.20551366,0.79448634,0.067298464
14,0.93185145,0.20336723,0.79663277,0.06814853
15,0.9311508,0.2014194,0.7985806,0.06884922
16,0.93046856,0.1996069,0.8003931,0.06953143
17,0.92983717,0.19774,0.80226,0.070162825
18,0.9291273,0.1961615,0.8038385,0.070872754
19,0.92857903,0.19458045,0.80541956,0.07142098
20,0.9279738,0.19308795,0.80691206,0.07202619
21,0.9273455,0.19173078,0.8082692,0.0726545
22,0.92677724,0.19045709,0.8095429,0.07322276
23,0.92622286,0.18912776,0.81087226,0.07377715
24,0.9256654,0.18796158,0.8120384,0.074334614
25,0.925188,0.18670182,0.81329817,0.07481201
26,0.9247229,0.18560646,0.8143935,0.07527708
27,0.92426246,0.18458575,0.81541425,0.075737536
28,0.9237358,0.18345499,0.816545,0.0762642
29,0.9232507,0.18241909,0.8175809,0.076749295
30,0.9227764,0.18140216,0.81859785,0.07722361
31,0.922319,0.18035363,0.81964636,0.07768098
32,0.92190015,0.17926714,0.8207329,0.078099854
33,0.92151976,0.17830713,0.8216929,0.07848023
34,0.92106086,0.1774015,0.8225985,0.07893914
35,0.92074054,0.17654522,0.8234548,0.079259455
36,0.9203463,0.17573573,0.8242643,0.07965369
37,0.9199629,0.17490599,0.825094,0.08003715
38,0.9196456,0.17408891,0.8259111,0.08035438
39,0.9193176,0.17330724,0.82669276,0.0806824
40,0.9189727,0.17243958,0.8275604,0.08102735
41,0.91857994,0.17169333,0.8283067,0.08142004
42,0.91822577,0.1709496,0.8290504,0.081774235
43,0.9178993,0.170259,0.829741,0.08210071
44,0.91760975,0.16950263,0.8304974,0.08239023
45,0.9172725,0.16881455,0.83118546,0.082727484
46,0.91699225,0.1680898,0.8319102,0.08300776
47,0.916712,0.16740048,0.8325995,0.08328803
48,0.9163978,0.16679841,0.8332016,0.08360219
49,0.9160852,0.1661192,0.8338808,0.0839148
50,0.9158003,0.16549438,0.8345056,0.0841997
51,0.9154415,0.16477849,0.8352215,0.08455851
